005593.jpg 1 car.n.01 | boat.n.01
007691.jpg 1 car.n.01 | boat.n.01
002244.jpg 1 car.n.01 | boat.n.01
002244.jpg 5 car.n.01 | boat.n.01
002244.jpg 6 person.n.01 | boat.n.01
006583.jpg 2 television_monitor.n.01 | sofa.n.01
006583.jpg 3 television_monitor.n.01 | sofa.n.01
005055.jpg 2 dining_table.n.01 | chair.n.01
006585.jpg 1 person.n.01 | boat.n.01
006585.jpg 2 motorcycle.n.01 | car.n.01
006588.jpg 1 train.n.01 | boat.n.01
009445.jpg 1 television_monitor.n.01 | chair.n.01
006618.jpg 1 motorcycle.n.01 | car.n.01
006618.jpg 2 person.n.01 | boat.n.01
001041.jpg 1 bird.n.01 | chair.n.01
001042.jpg 2 dog.n.01 | bird.n.01
001042.jpg 5 person.n.01 | boat.n.01
001042.jpg 6 person.n.01 | boat.n.01
001045.jpg 1 bottle.n.01 | airplane.n.01
002427.jpg 1 sofa.n.01 | chair.n.01
002427.jpg 2 sofa.n.01 | chair.n.01
002798.jpg 3 person.n.01 | car.n.01
002798.jpg 4 person.n.01 | cat.n.01
002798.jpg 9 chair.n.01 | car.n.01
002798.jpg 10 chair.n.01 | car.n.01
002798.jpg 11 chair.n.01 | car.n.01
002798.jpg 12 chair.n.01 | horse.n.01
002798.jpg 13 dining_table.n.01 | car.n.01
001682.jpg 3 bottle.n.01 | car.n.01
001685.jpg 1 bird.n.01 | airplane.n.01
001685.jpg 2 bird.n.01 | car.n.01
007527.jpg 7 car.n.01 | boat.n.01
007528.jpg 1 cow.n.01 | horse.n.01
007528.jpg 2 cow.n.01 | horse.n.01
007528.jpg 3 cow.n.01 | horse.n.01
007528.jpg 4 cow.n.01 | airplane.n.01
007528.jpg 5 cow.n.01 | airplane.n.01
007528.jpg 6 cow.n.01 | horse.n.01
007528.jpg 7 cow.n.01 | horse.n.01
007528.jpg 8 cow.n.01 | horse.n.01
002063.jpg 1 dining_table.n.01 | car.n.01
002063.jpg 6 chair.n.01 | car.n.01
002063.jpg 7 chair.n.01 | car.n.01
001689.jpg 3 chair.n.01 | car.n.01
002794.jpg 1 cow.n.01 | horse.n.01
002067.jpg 1 cat.n.01 | airplane.n.01
002064.jpg 2 dining_table.n.01 | car.n.01
003826.jpg 1 motorcycle.n.01 | car.n.01
003821.jpg 1 dog.n.01 | airplane.n.01
003820.jpg 1 car.n.01 | boat.n.01
000403.jpg 1 cat.n.01 | bird.n.01
000408.jpg 1 cow.n.01 | sheep.n.01
007283.jpg 3 car.n.01 | boat.n.01
006325.jpg 1 car.n.01 | boat.n.01
005278.jpg 6 person.n.01 | boat.n.01
006323.jpg 1 television_monitor.n.01 | chair.n.01
006323.jpg 2 television_monitor.n.01 | chair.n.01
001465.jpg 1 chair.n.01 | car.n.01
001465.jpg 7 dining_table.n.01 | car.n.01
001465.jpg 8 bottle.n.01 | car.n.01
001464.jpg 2 plant.n.02 | boat.n.01
001464.jpg 6 plant.n.02 | chair.n.01
001464.jpg 7 plant.n.02 | boat.n.01
001464.jpg 9 plant.n.02 | car.n.01
001464.jpg 15 plant.n.02 | car.n.01
001464.jpg 16 plant.n.02 | car.n.01
001464.jpg 17 plant.n.02 | boat.n.01
001464.jpg 18 plant.n.02 | car.n.01
001464.jpg 20 plant.n.02 | chair.n.01
001464.jpg 22 plant.n.02 | cat.n.01
001464.jpg 23 plant.n.02 | car.n.01
001464.jpg 25 plant.n.02 | boat.n.01
001464.jpg 27 plant.n.02 | boat.n.01
001464.jpg 32 plant.n.02 | car.n.01
001464.jpg 33 plant.n.02 | horse.n.01
001464.jpg 34 plant.n.02 | boat.n.01
001463.jpg 1 boat.n.01 | airplane.n.01
001460.jpg 1 person.n.01 | boat.n.01
002462.jpg 1 train.n.01 | airplane.n.01
002460.jpg 2 person.n.01 | boat.n.01
001860.jpg 1 chair.n.01 | horse.n.01
002977.jpg 1 dog.n.01 | airplane.n.01
002977.jpg 2 dog.n.01 | airplane.n.01
001265.jpg 1 person.n.01 | boat.n.01
001266.jpg 1 motorcycle.n.01 | airplane.n.01
000791.jpg 1 train.n.01 | airplane.n.01
000797.jpg 1 dog.n.01 | airplane.n.01
000797.jpg 2 person.n.01 | bird.n.01
000797.jpg 3 sofa.n.01 | boat.n.01
000794.jpg 1 cat.n.01 | bird.n.01
000024.jpg 1 train.n.01 | airplane.n.01
005160.jpg 1 chair.n.01 | boat.n.01
005160.jpg 4 chair.n.01 | car.n.01
005160.jpg 8 dining_table.n.01 | chair.n.01
005160.jpg 9 television_monitor.n.01 | sofa.n.01
005160.jpg 11 plant.n.02 | boat.n.01
005161.jpg 1 person.n.01 | boat.n.01
005161.jpg 11 horse.n.01 | boat.n.01
001311.jpg 1 bicycle.n.01 | boat.n.01
001311.jpg 2 bicycle.n.01 | airplane.n.01
001311.jpg 3 bicycle.n.01 | airplane.n.01
001311.jpg 6 person.n.01 | boat.n.01
001311.jpg 7 person.n.01 | boat.n.01
001310.jpg 1 sheep.n.01 | bird.n.01
000224.jpg 1 television_monitor.n.01 | boat.n.01
003419.jpg 4 plant.n.02 | boat.n.01
003419.jpg 5 plant.n.02 | car.n.01
003419.jpg 13 plant.n.02 | chair.n.01
003419.jpg 14 plant.n.02 | car.n.01
003419.jpg 15 plant.n.02 | boat.n.01
003419.jpg 20 plant.n.02 | boat.n.01
005305.jpg 1 car.n.01 | boat.n.01
004364.jpg 1 sofa.n.01 | chair.n.01
000132.jpg 1 bus.n.01 | airplane.n.01
000130.jpg 1 boat.n.01 | airplane.n.01
000131.jpg 3 person.n.01 | boat.n.01
006219.jpg 1 dog.n.01 | bird.n.01
004369.jpg 1 sofa.n.01 | chair.n.01
004369.jpg 2 sofa.n.01 | chair.n.01
004368.jpg 1 cow.n.01 | horse.n.01
004368.jpg 2 cow.n.01 | horse.n.01
004368.jpg 3 cow.n.01 | horse.n.01
002549.jpg 1 television_monitor.n.01 | chair.n.01
005768.jpg 4 person.n.01 | boat.n.01
009598.jpg 1 bird.n.01 | airplane.n.01
009598.jpg 2 bird.n.01 | airplane.n.01
009597.jpg 1 train.n.01 | airplane.n.01
009224.jpg 5 person.n.01 | boat.n.01
003793.jpg 1 sofa.n.01 | boat.n.01
003793.jpg 2 cat.n.01 | bird.n.01
009221.jpg 1 cat.n.01 | boat.n.01
005761.jpg 1 person.n.01 | boat.n.01
009591.jpg 1 motorcycle.n.01 | car.n.01
009591.jpg 2 motorcycle.n.01 | car.n.01
009591.jpg 3 person.n.01 | boat.n.01
009591.jpg 4 person.n.01 | boat.n.01
005416.jpg 1 dog.n.01 | airplane.n.01
005940.jpg 3 person.n.01 | boat.n.01
004148.jpg 1 television_monitor.n.01 | airplane.n.01
004145.jpg 1 motorcycle.n.01 | boat.n.01
004145.jpg 2 motorcycle.n.01 | boat.n.01
004145.jpg 3 motorcycle.n.01 | car.n.01
004145.jpg 4 motorcycle.n.01 | car.n.01
004145.jpg 6 motorcycle.n.01 | car.n.01
004145.jpg 10 person.n.01 | boat.n.01
004145.jpg 11 person.n.01 | boat.n.01
004145.jpg 12 person.n.01 | boat.n.01
004145.jpg 14 person.n.01 | boat.n.01
004142.jpg 3 person.n.01 | boat.n.01
004142.jpg 4 sofa.n.01 | chair.n.01
004141.jpg 1 cow.n.01 | boat.n.01
004141.jpg 2 cow.n.01 | horse.n.01
004141.jpg 3 person.n.01 | horse.n.01
005419.jpg 2 person.n.01 | boat.n.01
009588.jpg 1 train.n.01 | boat.n.01
004967.jpg 1 motorcycle.n.01 | car.n.01
004960.jpg 1 plant.n.02 | boat.n.01
008068.jpg 1 bird.n.01 | boat.n.01
008060.jpg 1 car.n.01 | boat.n.01
008061.jpg 2 bottle.n.01 | car.n.01
008061.jpg 3 bottle.n.01 | airplane.n.01
008061.jpg 4 bottle.n.01 | car.n.01
009048.jpg 1 cat.n.01 | bird.n.01
009048.jpg 2 chair.n.01 | car.n.01
009823.jpg 1 dog.n.01 | bird.n.01
009822.jpg 1 car.n.01 | boat.n.01
009822.jpg 2 car.n.01 | boat.n.01
009822.jpg 4 person.n.01 | boat.n.01
009822.jpg 6 motorcycle.n.01 | person.n.01
009822.jpg 7 person.n.01 | boat.n.01
009822.jpg 8 motorcycle.n.01 | boat.n.01
009822.jpg 9 motorcycle.n.01 | boat.n.01
009822.jpg 10 motorcycle.n.01 | boat.n.01
009822.jpg 11 motorcycle.n.01 | car.n.01
009822.jpg 12 motorcycle.n.01 | boat.n.01
009822.jpg 13 motorcycle.n.01 | boat.n.01
009822.jpg 16 person.n.01 | car.n.01
009822.jpg 18 person.n.01 | boat.n.01
009822.jpg 20 motorcycle.n.01 | boat.n.01
009822.jpg 21 motorcycle.n.01 | car.n.01
009822.jpg 22 person.n.01 | boat.n.01
009822.jpg 27 person.n.01 | boat.n.01
009822.jpg 28 motorcycle.n.01 | person.n.01
009822.jpg 29 motorcycle.n.01 | car.n.01
009822.jpg 30 bus.n.01 | boat.n.01
009822.jpg 33 person.n.01 | car.n.01
009822.jpg 34 person.n.01 | boat.n.01
008268.jpg 3 car.n.01 | boat.n.01
003780.jpg 1 television_monitor.n.01 | airplane.n.01
003780.jpg 2 television_monitor.n.01 | sofa.n.01
003780.jpg 3 television_monitor.n.01 | plant.n.02
003780.jpg 6 cat.n.01 | bird.n.01
008087.jpg 1 car.n.01 | boat.n.01
003783.jpg 2 bottle.n.01 | airplane.n.01
003783.jpg 3 bottle.n.01 | airplane.n.01
003783.jpg 4 bottle.n.01 | airplane.n.01
003783.jpg 7 bottle.n.01 | car.n.01
003783.jpg 8 bottle.n.01 | airplane.n.01
003783.jpg 9 bottle.n.01 | car.n.01
003783.jpg 13 bottle.n.01 | airplane.n.01
003783.jpg 18 bottle.n.01 | airplane.n.01
003783.jpg 21 bottle.n.01 | airplane.n.01
003783.jpg 25 bottle.n.01 | airplane.n.01
007068.jpg 6 car.n.01 | boat.n.01
003038.jpg 1 train.n.01 | airplane.n.01
007065.jpg 1 bird.n.01 | airplane.n.01
003032.jpg 1 airplane.n.01 | bicycle.n.01
003032.jpg 3 car.n.01 | boat.n.01
007997.jpg 1 person.n.01 | boat.n.01
007997.jpg 2 person.n.01 | boat.n.01
007999.jpg 1 sofa.n.01 | chair.n.01
007999.jpg 4 television_monitor.n.01 | chair.n.01
007998.jpg 1 person.n.01 | boat.n.01
009902.jpg 6 person.n.01 | boat.n.01
004895.jpg 1 plant.n.02 | boat.n.01
004788.jpg 2 person.n.01 | boat.n.01
003325.jpg 1 dog.n.01 | car.n.01
003325.jpg 2 dog.n.01 | airplane.n.01
004785.jpg 1 dining_table.n.01 | car.n.01
004785.jpg 3 chair.n.01 | car.n.01
004785.jpg 4 chair.n.01 | airplane.n.01
004785.jpg 5 chair.n.01 | car.n.01
004785.jpg 6 chair.n.01 | sofa.n.01
004785.jpg 7 chair.n.01 | car.n.01
004785.jpg 8 chair.n.01 | car.n.01
004785.jpg 9 chair.n.01 | airplane.n.01
000854.jpg 1 sofa.n.01 | chair.n.01
000854.jpg 3 chair.n.01 | car.n.01
000854.jpg 8 person.n.01 | chair.n.01
003258.jpg 2 television_monitor.n.01 | chair.n.01
002324.jpg 1 person.n.01 | boat.n.01
008888.jpg 1 television_monitor.n.01 | boat.n.01
002328.jpg 1 television_monitor.n.01 | airplane.n.01
003256.jpg 1 car.n.01 | boat.n.01
007204.jpg 1 cat.n.01 | airplane.n.01
007204.jpg 2 cat.n.01 | airplane.n.01
008880.jpg 1 cat.n.01 | car.n.01
007191.jpg 1 dining_table.n.01 | car.n.01
007191.jpg 3 bottle.n.01 | car.n.01
007191.jpg 4 bottle.n.01 | car.n.01
007191.jpg 6 dining_table.n.01 | airplane.n.01
007191.jpg 7 chair.n.01 | airplane.n.01
007191.jpg 8 chair.n.01 | car.n.01
007191.jpg 9 chair.n.01 | car.n.01
007191.jpg 11 chair.n.01 | airplane.n.01
002815.jpg 1 person.n.01 | boat.n.01
006821.jpg 1 bus.n.01 | airplane.n.01
002812.jpg 2 bus.n.01 | boat.n.01
002810.jpg 1 dog.n.01 | airplane.n.01
006829.jpg 1 dog.n.01 | horse.n.01
007662.jpg 1 bird.n.01 | boat.n.01
007845.jpg 2 bird.n.01 | car.n.01
007843.jpg 1 car.n.01 | boat.n.01
007666.jpg 1 train.n.01 | airplane.n.01
007664.jpg 1 chair.n.01 | car.n.01
007664.jpg 2 chair.n.01 | car.n.01
007664.jpg 6 plant.n.02 | boat.n.01
007443.jpg 1 chair.n.01 | car.n.01
007443.jpg 2 chair.n.01 | airplane.n.01
007443.jpg 3 chair.n.01 | car.n.01
007443.jpg 5 sofa.n.01 | boat.n.01
006139.jpg 1 dog.n.01 | airplane.n.01
007445.jpg 2 train.n.01 | boat.n.01
002492.jpg 1 sofa.n.01 | chair.n.01
002492.jpg 3 chair.n.01 | airplane.n.01
002491.jpg 2 person.n.01 | boat.n.01
006133.jpg 1 car.n.01 | boat.n.01
006133.jpg 2 car.n.01 | boat.n.01
006133.jpg 3 car.n.01 | boat.n.01
006133.jpg 6 car.n.01 | sofa.n.01
006133.jpg 15 person.n.01 | boat.n.01
006133.jpg 16 person.n.01 | boat.n.01
006133.jpg 17 person.n.01 | car.n.01
002497.jpg 2 car.n.01 | boat.n.01
002497.jpg 3 person.n.01 | boat.n.01
007680.jpg 1 bird.n.01 | boat.n.01
007680.jpg 4 bird.n.01 | boat.n.01
005970.jpg 1 cat.n.01 | bird.n.01
003774.jpg 1 dog.n.01 | airplane.n.01
002251.jpg 1 sofa.n.01 | car.n.01
007688.jpg 1 motorcycle.n.01 | airplane.n.01
006730.jpg 1 train.n.01 | boat.n.01
006628.jpg 1 chair.n.01 | airplane.n.01
006628.jpg 2 chair.n.01 | car.n.01
006628.jpg 3 chair.n.01 | car.n.01
006628.jpg 4 chair.n.01 | airplane.n.01
006628.jpg 5 chair.n.01 | car.n.01
006628.jpg 6 chair.n.01 | car.n.01
006628.jpg 9 chair.n.01 | airplane.n.01
006628.jpg 10 dining_table.n.01 | car.n.01
006628.jpg 11 television_monitor.n.01 | chair.n.01
006625.jpg 2 car.n.01 | boat.n.01
006625.jpg 3 car.n.01 | boat.n.01
006625.jpg 5 person.n.01 | boat.n.01
002786.jpg 2 person.n.01 | boat.n.01
002785.jpg 1 cat.n.01 | airplane.n.01
002784.jpg 1 dog.n.01 | horse.n.01
006000.jpg 1 chair.n.01 | airplane.n.01
006001.jpg 1 train.n.01 | boat.n.01
001072.jpg 1 sofa.n.01 | chair.n.01
001678.jpg 3 person.n.01 | airplane.n.01
001678.jpg 5 chair.n.01 | airplane.n.01
001678.jpg 6 television_monitor.n.01 | chair.n.01
007537.jpg 1 dog.n.01 | horse.n.01
001675.jpg 1 dog.n.01 | airplane.n.01
007533.jpg 1 boat.n.01 | airplane.n.01
007533.jpg 2 boat.n.01 | airplane.n.01
006488.jpg 1 dog.n.01 | horse.n.01
006488.jpg 2 person.n.01 | boat.n.01
006484.jpg 1 car.n.01 | boat.n.01
004089.jpg 1 person.n.01 | boat.n.01
004089.jpg 2 car.n.01 | boat.n.01
004089.jpg 3 car.n.01 | chair.n.01
000776.jpg 1 car.n.01 | boat.n.01
000417.jpg 1 cow.n.01 | horse.n.01
006012.jpg 2 bird.n.01 | boat.n.01
000419.jpg 1 motorcycle.n.01 | car.n.01
000419.jpg 4 person.n.01 | boat.n.01
002670.jpg 1 dog.n.01 | horse.n.01
002670.jpg 2 sofa.n.01 | car.n.01
002677.jpg 1 cat.n.01 | airplane.n.01
006318.jpg 1 cat.n.01 | airplane.n.01
001413.jpg 1 bird.n.01 | chair.n.01
001413.jpg 3 bird.n.01 | chair.n.01
001413.jpg 6 bird.n.01 | car.n.01
001413.jpg 8 bird.n.01 | chair.n.01
002477.jpg 1 train.n.01 | airplane.n.01
002476.jpg 1 person.n.01 | boat.n.01
000675.jpg 1 train.n.01 | airplane.n.01
000675.jpg 2 train.n.01 | airplane.n.01
000675.jpg 3 train.n.01 | airplane.n.01
001785.jpg 1 person.n.01 | boat.n.01
001899.jpg 2 car.n.01 | boat.n.01
001899.jpg 7 car.n.01 | boat.n.01
001899.jpg 10 motorcycle.n.01 | boat.n.01
008295.jpg 1 train.n.01 | boat.n.01
001066.jpg 1 person.n.01 | boat.n.01
001254.jpg 1 person.n.01 | boat.n.01
001522.jpg 1 bottle.n.01 | car.n.01
001259.jpg 3 bicycle.n.01 | boat.n.01
000302.jpg 3 car.n.01 | boat.n.01
000302.jpg 5 car.n.01 | boat.n.01
000302.jpg 6 person.n.01 | boat.n.01
000302.jpg 7 motorcycle.n.01 | boat.n.01
001097.jpg 3 person.n.01 | boat.n.01
001092.jpg 1 dog.n.01 | horse.n.01
001093.jpg 3 car.n.01 | boat.n.01
001093.jpg 4 car.n.01 | boat.n.01
001091.jpg 5 dining_table.n.01 | airplane.n.01
001091.jpg 9 plant.n.02 | car.n.01
003966.jpg 1 bus.n.01 | boat.n.01
003966.jpg 2 person.n.01 | boat.n.01
008115.jpg 2 dog.n.01 | horse.n.01
008115.jpg 3 dog.n.01 | horse.n.01
008115.jpg 5 dog.n.01 | horse.n.01
000780.jpg 2 chair.n.01 | car.n.01
000780.jpg 3 chair.n.01 | car.n.01
000780.jpg 4 chair.n.01 | car.n.01
000780.jpg 5 chair.n.01 | airplane.n.01
000782.jpg 1 bus.n.01 | airplane.n.01
000787.jpg 1 car.n.01 | boat.n.01
000786.jpg 1 cow.n.01 | horse.n.01
000786.jpg 2 cow.n.01 | horse.n.01
005577.jpg 1 car.n.01 | boat.n.01
005576.jpg 1 train.n.01 | airplane.n.01
005573.jpg 2 sofa.n.01 | airplane.n.01
009699.jpg 4 car.n.01 | person.n.01
009695.jpg 1 train.n.01 | airplane.n.01
006827.jpg 2 sofa.n.01 | airplane.n.01
009692.jpg 2 bird.n.01 | horse.n.01
005175.jpg 4 airplane.n.01 | car.n.01
009105.jpg 1 bus.n.01 | airplane.n.01
000232.jpg 1 cow.n.01 | horse.n.01
000232.jpg 3 boat.n.01 | airplane.n.01
000232.jpg 4 boat.n.01 | airplane.n.01
001316.jpg 1 dog.n.01 | car.n.01
003121.jpg 2 person.n.01 | boat.n.01
005314.jpg 1 motorcycle.n.01 | car.n.01
003435.jpg 2 person.n.01 | airplane.n.01
004310.jpg 2 chair.n.01 | airplane.n.01
000121.jpg 2 television_monitor.n.01 | bicycle.n.01
000120.jpg 1 dog.n.01 | airplane.n.01
000123.jpg 1 train.n.01 | airplane.n.01
005779.jpg 2 sofa.n.01 | chair.n.01
005773.jpg 7 chair.n.01 | car.n.01
009212.jpg 1 dog.n.01 | horse.n.01
005407.jpg 1 train.n.01 | boat.n.01
005956.jpg 2 car.n.01 | boat.n.01
005956.jpg 3 person.n.01 | boat.n.01
004421.jpg 1 chair.n.01 | airplane.n.01
004421.jpg 2 chair.n.01 | car.n.01
004421.jpg 3 chair.n.01 | car.n.01
004421.jpg 4 chair.n.01 | sofa.n.01
004421.jpg 7 dining_table.n.01 | car.n.01
004421.jpg 8 dining_table.n.01 | car.n.01
004424.jpg 4 person.n.01 | boat.n.01
004424.jpg 5 person.n.01 | boat.n.01
005794.jpg 1 sofa.n.01 | chair.n.01
005794.jpg 3 dining_table.n.01 | car.n.01
005794.jpg 5 chair.n.01 | car.n.01
005791.jpg 1 car.n.01 | boat.n.01
005791.jpg 2 motorcycle.n.01 | car.n.01
005790.jpg 1 dining_table.n.01 | car.n.01
004950.jpg 2 person.n.01 | boat.n.01
004953.jpg 1 bicycle.n.01 | boat.n.01
004953.jpg 2 bicycle.n.01 | boat.n.01
004953.jpg 3 bicycle.n.01 | boat.n.01
004953.jpg 4 bicycle.n.01 | boat.n.01
004953.jpg 5 bicycle.n.01 | boat.n.01
004953.jpg 17 bus.n.01 | boat.n.01
004953.jpg 18 bus.n.01 | sofa.n.01
004954.jpg 1 sheep.n.01 | boat.n.01
004954.jpg 2 person.n.01 | boat.n.01
004956.jpg 1 television_monitor.n.01 | chair.n.01
004956.jpg 2 chair.n.01 | car.n.01
009079.jpg 1 person.n.01 | boat.n.01
004558.jpg 1 plant.n.02 | boat.n.01
004558.jpg 3 plant.n.02 | boat.n.01
009670.jpg 2 cat.n.01 | boat.n.01
004229.jpg 1 motorcycle.n.01 | car.n.01
004229.jpg 2 person.n.01 | boat.n.01
009858.jpg 1 airplane.n.01 | car.n.01
004552.jpg 1 bus.n.01 | boat.n.01
005418.jpg 1 cow.n.01 | horse.n.01
004047.jpg 3 dining_table.n.01 | airplane.n.01
004047.jpg 4 cat.n.01 | bird.n.01
008091.jpg 1 boat.n.01 | airplane.n.01
008091.jpg 2 person.n.01 | boat.n.01
008091.jpg 3 boat.n.01 | airplane.n.01
003798.jpg 1 car.n.01 | boat.n.01
007052.jpg 1 boat.n.01 | airplane.n.01
007052.jpg 2 person.n.01 | boat.n.01
003021.jpg 1 bus.n.01 | airplane.n.01
